850743[1989] -1 -2  SUtility:1989
857050[1046] 858693[523] 858787[941] 859092[2093] 859120[1046] 859122[2617] 859310[2617] 859876[3768] 859889[2722] 859891[837] 859942[2823] -1 -2  SUtility:21033
538985[2617] -1 -2  SUtility:2617
582942[5759] -1 -2  SUtility:5759
580293[2303] -1 -2  SUtility:2303
839313[4188] -1 -2  SUtility:4188
714800[10471] -1 -2  SUtility:10471
774667[1151] 846372[1360] -1 -2  SUtility:2511
545879[2617] -1 -2  SUtility:2617
712107[15603] -1 -2  SUtility:15603
717007[5334] -1 -2  SUtility:5334
853698[837] 853722[418] 853730[1570] -1 -2  SUtility:2825
 10315[5] -1 -2  SUtility:5
697572[2720] -1 -2  SUtility:2720
850947[1046] 853325[4188] -1 -2  SUtility:5234
 12407[8] -1 35185[40] -1 -2  SUtility:48
851279[29112] -1 -2  SUtility:29112
854080[3768] 854221[1464] 854257[2092] 854493[3140] -1 -2  SUtility:10464
853072[15603] -1 -2  SUtility:15603
716984[3036] -1 -2  SUtility:3036
 10311[6] -1 -2  SUtility:6
819393[1570] -1 -2  SUtility:1570
601040[4711] -1 601040[4711] -1 -2  SUtility:9422
586711[4710] -1 -2  SUtility:4710
535038[1883] 819781[1570] 827032[837] -1 -2  SUtility:4290
513408[1570] 697340[2092] 839313[4188] -1 -2  SUtility:7850
629133[16650] -1 -2  SUtility:16650
 12675[49] -1 -2  SUtility:49
 12715[12] -1 -2  SUtility:12
684513[10471] 836761[41783] 839373[26075] -1 -2  SUtility:78329
853105[1046] -1 -2  SUtility:1046
840412[5234] -1 -2  SUtility:5234
 10845[6] -1 10877[4] -1 10881[15] -1 12351[10] -1 12551[30] -1 35173[2] -1 35181[12] -1 -2  SUtility:79
712126[680] 834880[732] -1 -2  SUtility:1412
853754[8377] -1 -2  SUtility:8377
851315[2093] -1 -2  SUtility:2093
828963[6596] -1 -2  SUtility:6596
567327[941] 567333[837] 684785[1046] 838111[889] -1 -2  SUtility:3713
545879[2617] -1 -2  SUtility:2617
844158[102521] -1 -2  SUtility:102521
2[20] -1 7[45] -1 10[6] -1 13[35] -1 23[45] -1 28[42] -1 34[30] -1 36[20] -1 39[3] -1 44[7] -1 52[7] -1 58[8] -1 59[6] -1 63[42] -1 67[9] -1 76[18] -1 85[20] -1 86[4] -1 91[18] -1 94[42] -1 102[12] -1 112[16] -1 118[21] -2 SUtility:476
 12483[4] -1 -2  SUtility:4
853094[4188] -1 -2  SUtility:4188
 12715[9] -1 12723[36] -1 -2  SUtility:45
706216[2722] 774685[2826] -1 -2  SUtility:5548
534655[7329] -1 -2  SUtility:7329
743493[2617] 829385[732] 829657[523] 829660[418] 829664[418] -1 -2  SUtility:4708
833800[31311] -1 -2  SUtility:31311
854300[2196] 854585[261] -1 -2  SUtility:2457
 12659[8] -1 -2  SUtility:8
