537850[10471] 537888[12462] -1 -2  SUtility:22933
535653[1883] -1 -2  SUtility:1883
530572[6073] 835025[2617] -1 -2  SUtility:8690
578823[1046] 586690[837] 587399[1046] 668193[523] 774667[1151] -1 -2  SUtility:4603
821371[1046] -1 821371[1046] -1 -2  SUtility:2092
717867[7112] -1 -2  SUtility:7112
826715[1464] 826955[2720] 827026[1046] -1 -2  SUtility:5230
716984[1883] -1 -2  SUtility:1883
716932[6177] -1 -2  SUtility:6177
821013[1883] 821017[1046] 821020[732] -1 -2  SUtility:3661
821290[4184] -1 821290[4184] -1 -2  SUtility:8368
548744[3141] 838503[18745] -1 -2  SUtility:21886
636775[8375] -1 -2  SUtility:8375
820255[3769] -1 -2  SUtility:3769
706441[2720] 820225[4184] 834865[2092] -1 -2  SUtility:8996
586711[1570] 821339[1046] -1 586711[1570] 821339[1046] -1 -2  SUtility:5232
716932[18844] -1 -2  SUtility:18844
821277[4184] 821285[4184] 826608[313] -1 -2  SUtility:8681
711635[4188] -1 -2  SUtility:4188
573612[4711] -1 -2  SUtility:4711
695092[14556] 695097[5235] -1 -2  SUtility:19791
716930[5759] -1 -2  SUtility:5759
820231[1046] 840417[1570] -1 -2  SUtility:2616
839313[4188] -1 -2  SUtility:4188
687642[1570] -1 -2  SUtility:1570
585395[4188] -1 -2  SUtility:4188
821013[1883] -1 547668[4188] -1 -2  SUtility:6071
652220[1465] 743369[1046] 819430[470] 820392[627] 826837[627] 826908[837] 840483[1674] -1 -2  SUtility:6746
826810[1046] -1 -2  SUtility:1046
821390[941] -1 -2  SUtility:941
586651[4083] -1 -2  SUtility:4083
717005[2931] -1 -2  SUtility:2931
695097[8375] -1 -2  SUtility:8375
748293[3350] -1 -2  SUtility:3350
652932[1778] -1 -2  SUtility:1778
718396[2092] -1 -2  SUtility:2092
582942[5235] -1 -2  SUtility:5235
717888[2092] 746382[784] 819547[418] 821024[1570] 829282[837] -1 573357[784] 717888[2092] 819547[418] 821024[1570] 829282[837] -1 -2  SUtility:11402
821277[2092] 821285[4184] 839313[4188] -1 -2  SUtility:10464
531513[2617] -1 -2  SUtility:2617
716973[4816] -1 -2  SUtility:4816
827000[418] 827005[627] 827007[837] -1 -2  SUtility:1882
684093[1046] -1 -2  SUtility:1046
539845[26075] -1 -2  SUtility:26075
709634[837] 829737[1360] 837483[523] 837485[627] 837490[523] -1 -2  SUtility:3870
714880[10471] -1 -2  SUtility:10471
705991[7328] -1 -2  SUtility:7328
820233[1465] 820261[4188] -1 -2  SUtility:5653
748295[2303] 821307[594] -1 -2  SUtility:2897
648245[1570] 684093[1046] 819762[627] -1 -2  SUtility:3243
716932[4188] -1 -2  SUtility:4188
594592[4711] -1 -2  SUtility:4711
826801[1569] -1 571904[3141] 716673[7852] 826608[313] -1 -2  SUtility:12875
820413[6280] 821277[2092] 821292[1254] -1 -2  SUtility:9626
536506[3348] -1 -2  SUtility:3348
711078[3138] 826627[1046] 826955[4080] -1 -2  SUtility:8264
716984[5234] -1 -2  SUtility:5234
613865[4711] -1 -2  SUtility:4711
839313[8376] -1 -2  SUtility:8376
555903[1360] -1 -2  SUtility:1360
708305[3141] -1 -2  SUtility:3141
717888[2092] -1 602806[2617] 819760[627] 826953[1570] -1 -2  SUtility:6906
676537[32358] -1 -2  SUtility:32358
600502[26075] -1 -2  SUtility:26075
701240[15080] -1 554277[1046] 753513[784] 820400[418] -1 -2  SUtility:17328
697996[2408] -1 -2  SUtility:2408
612706[6282] 832653[4816] -1 -2  SUtility:11098
664767[15603] -1 -2  SUtility:15603
716937[3976] -1 -2  SUtility:3976
717003[5234] 717005[2408] -1 -2  SUtility:7642
840483[1674] -1 -2  SUtility:1674
716982[3036] 826606[941] 826627[523] 826715[732] 826835[3348] 832653[3141] -1 -2  SUtility:11721
613865[4711] -1 -2  SUtility:4711
687685[1256] 821285[2092] 826627[1046] 826803[4188] 826955[2720] -1 -2  SUtility:11302
821277[6276] -1 821277[6276] -1 -2  SUtility:12552
535621[10470] -1 535621[10470] -1 -2  SUtility:20940
820231[2092] -1 -2  SUtility:2092
594678[8900] -1 -2  SUtility:8900
821296[6282] 832557[2092] -1 -2  SUtility:8374
826750[5235] -1 -2  SUtility:5235
774685[2826] -1 -2  SUtility:2826
554714[313] 690847[837] 718182[1725] -1 -2  SUtility:2875
574754[732] 685795[1046] 820201[3141] 825839[1570] -1 -2  SUtility:6489
575667[523] 821390[941] -1 -2  SUtility:1464
709685[941] 820237[523] 826897[5235] 826955[2720] -1 -2  SUtility:9419
821277[4184] -1 -2  SUtility:4184
716924[4188] -1 -2  SUtility:4188
585138[3141] -1 585138[3141] -1 -2  SUtility:6282
800262[1046] -1 -2  SUtility:1046
510044[13509] -1 -2  SUtility:13509
716930[9632] -1 -2  SUtility:9632
774685[2826] 821272[1254] 827020[4188] -1 -2  SUtility:8268
668795[1560] 834944[5652] -1 -2  SUtility:7212
838370[2617] -1 838370[2617] -1 -2  SUtility:5234
743341[1360] -1 -2  SUtility:1360
820233[2930] 820261[4188] 839765[5759] -1 -2  SUtility:12877
821024[1570] 832557[2092] -1 -2  SUtility:3662
820383[8376] -1 -2  SUtility:8376
748304[2092] 753507[523] 820192[1570] 821279[1570] 826801[1046] -1 -2  SUtility:6801
551930[1570] 557497[1151] -1 -2  SUtility:2721
821277[4184] 826702[837] 826705[2092] -1 821277[6276] 826627[1046] 826955[2720] -1 -2  SUtility:17155
587765[276985] -1 -2  SUtility:276985
836958[2092] 836960[3141] -1 -2  SUtility:5233
533020[1674] -1 -2  SUtility:1674
704180[18848] 714757[1882] 826893[1254] -1 -2  SUtility:21984
821290[4184] 821292[1254] -1 -2  SUtility:5438
753513[784] -1 -2  SUtility:784
584939[10468] 820231[4184] 826700[418] 826801[523] -1 -2  SUtility:15593
826627[1046] 826801[523] 826955[2720] 829285[4185] -1 826627[1046] 826801[523] 826955[2720] 829285[4185] -1 -2  SUtility:16948
587898[52255] -1 -2  SUtility:52255
523690[3132] 523700[1878] 639215[1881] -1 -2  SUtility:6891
826705[2092] -1 -2  SUtility:2092
600625[35500] -1 600625[35500] -1 -2  SUtility:71000
602605[8375] 640893[1360] 717511[732] -1 602605[8375] 640893[1360] 717511[732] -1 -2  SUtility:20934
820186[2092] 826606[941] 826955[2720] -1 826615[732] -1 -2  SUtility:6485
698037[2931] -1 -2  SUtility:2931
819610[2092] -1 -2  SUtility:2092
684513[10471] -1 -2  SUtility:10471
821285[2092] 826705[2092] 826803[4188] -1 -2  SUtility:8372
832645[6805] -1 -2  SUtility:6805
826844[3140] -1 -2  SUtility:3140
559803[3978] 716984[8689] -1 -2  SUtility:12667
691334[1883] 691370[1256] 843410[1350] 843432[1036] -1 -2  SUtility:5525
718398[1465] -1 -2  SUtility:1465
811752[2092] -1 -2  SUtility:2092
717003[2931] -1 -2  SUtility:2931
551913[1778] -1 -2  SUtility:1778
839313[4188] -1 -2  SUtility:4188
819376[1254] 821300[732] 826837[627] -1 -2  SUtility:2613
833802[45972] -1 -2  SUtility:45972
821390[1882] -1 -2  SUtility:1882
714880[10471] -1 -2  SUtility:10471
589606[5024] -1 -2  SUtility:5024
819376[836] -1 -2  SUtility:836
748291[2092] -1 -2  SUtility:2092
821290[4184] -1 -2  SUtility:4184
827062[6282] -1 -2  SUtility:6282
748300[4606] -1 -2  SUtility:4606
748291[2092] 753507[523] -1 -2  SUtility:2615
601040[4711] 601042[6282] -1 -2  SUtility:10993
534852[1988] -1 534852[1988] -1 -2  SUtility:3976
685782[13509] 826801[1046] -1 -2  SUtility:14555
821017[1046] -1 821013[3766] -1 -2  SUtility:4812
820231[6276] -1 -2  SUtility:6276
684115[2617] 687642[1570] -1 -2  SUtility:4187
839313[4188] -1 -2  SUtility:4188
676027[15603] -1 -2  SUtility:15603
821290[4184] -1 821290[4184] -1 -2  SUtility:8368
508287[1046] 702884[3664] 832447[25133] -1 -2  SUtility:29843
687642[1570] -1 -2  SUtility:1570
753505[1151] -1 -2  SUtility:1151
594680[12462] -1 594680[12462] -1 -2  SUtility:24924
826810[2092] -1 -2  SUtility:2092
826715[1464] 826835[3348] -1 -2  SUtility:4812
535010[2617] 581761[2092] -1 -2  SUtility:4709
712107[15603] -1 -2  SUtility:15603
573001[3756] 839795[3762] -1 -2  SUtility:7518
821279[1570] -1 -2  SUtility:1570
594678[8900] -1 -2  SUtility:8900
744530[6276] -1 -2  SUtility:6276
821277[6276] -1 821277[6276] -1 -2  SUtility:12552
826623[941] 826801[523] -1 -2  SUtility:1464
716939[1988] 826705[2092] -1 -2  SUtility:4080
819762[627] -1 -2  SUtility:627
826872[523] -1 -2  SUtility:523
826801[523] -1 -2  SUtility:523
826906[732] 829737[1360] -1 -2  SUtility:2092
821277[2092] 821290[2092] -1 -2  SUtility:4184
821277[2092] -1 -2  SUtility:2092
840483[1674] -1 -2  SUtility:1674
573552[1674] -1 -2  SUtility:1674
601040[9422] 601042[6282] -1 -2  SUtility:15704
680356[7328] -1 -2  SUtility:7328
709807[7328] -1 -2  SUtility:7328
537967[14556] -1 -2  SUtility:14556
578298[2092] 678453[2826] -1 -2  SUtility:4918
601040[4711] 601042[6282] -1 -2  SUtility:10993
826810[1046] -1 -2  SUtility:1046
716975[4918] -1 -2  SUtility:4918
716930[6282] -1 -2  SUtility:6282
716977[3556] -1 -2  SUtility:3556
684372[12985] 826608[313] 839740[8900] -1 -2  SUtility:22198
686902[2617] 716110[2092] -1 -2  SUtility:4709
826606[2823] -1 -2  SUtility:2823
826623[941] -1 -2  SUtility:941
837410[41783] -1 -2  SUtility:41783
819762[627] 820400[418] -1 -2  SUtility:1045
820214[4188] -1 820214[4188] -1 820214[4188] -1 -2  SUtility:12564
716943[3140] -1 -2  SUtility:3140
716935[5759] -1 -2  SUtility:5759
717003[2931] -1 -2  SUtility:2931
839313[4188] -1 -2  SUtility:4188
565512[2092] -1 -2  SUtility:2092
821307[1980] 826606[941] 826627[1046] 826715[732] 844357[198] -1 -2  SUtility:4897
832557[2092] 832559[2092] -1 -2  SUtility:4184
554384[7328] -1 -2  SUtility:7328
819389[1046] 821369[2092] -1 -2  SUtility:3138
567005[1570] 717498[2092] -1 -2  SUtility:3662
840410[4188] 840412[2617] 840417[3140] -1 -2  SUtility:9945
716980[4396] -1 716980[4396] -1 -2  SUtility:8792
557497[2302] 821339[1569] -1 -2  SUtility:3871
684715[1883] 711312[837] -1 -2  SUtility:2720
587257[8375] -1 -2  SUtility:8375
690839[1674] 820441[627] -1 -2  SUtility:2301
835582[25128] -1 -2  SUtility:25128
691428[1778] -1 691428[1778] -1 -2  SUtility:3556
546102[8166] -1 -2  SUtility:8166
840762[29217] -1 840762[29217] -1 -2  SUtility:58434
545808[8375] -1 -2  SUtility:8375
609325[523] -1 -2  SUtility:523
821277[6276] 821285[4184] 826801[1569] 826803[8376] -1 -2  SUtility:20405
826925[837] 834865[523] 840483[1674] -1 -2  SUtility:3034
826608[313] 826705[2092] -1 -2  SUtility:2405
820383[4188] 821285[2092] 827009[1046] -1 -2  SUtility:7326
819775[1046] 820814[2092] -1 -2  SUtility:3138
820441[627] 826608[313] 826705[2092] 826801[523] -1 -2  SUtility:3555
594678[17800] -1 -2  SUtility:17800
551371[4080] -1 -2  SUtility:4080
706102[627] 826998[837] -1 -2  SUtility:1464
826627[2092] 826955[2720] -1 826955[2720] -1 -2  SUtility:7532
516738[2092] 718102[4184] -1 -2  SUtility:6276
600492[732] 791684[680] 819393[1570] -1 -2  SUtility:2982
539782[3664] -1 -2  SUtility:3664
642016[2617] -1 -2  SUtility:2617
684093[1046] -1 -2  SUtility:1046
575088[2092] -1 575088[2092] -1 -2  SUtility:4184
748304[2303] 753505[1151] 753507[575] -1 -2  SUtility:4029
696434[31311] -1 -2  SUtility:31311
748304[2303] 753505[1151] 753507[575] -1 -2  SUtility:4029
586692[5235] -1 829312[6282] -1 -2  SUtility:11517
725551[9410] 826900[3135] -1 -2  SUtility:12545
534241[11624] 567065[6805] -1 -2  SUtility:18429
577443[240] 708037[4711] 835900[12462] -1 -2  SUtility:17413
820447[1570] -1 -2  SUtility:1570
762209[1041] -1 -2  SUtility:1041
821285[2092] 821309[3141] 826803[4188] -1 -2  SUtility:9421
826700[1672] 826801[523] -1 -2  SUtility:2195
821277[2092] -1 -2  SUtility:2092
820252[25128] -1 -2  SUtility:25128
561477[3141] -1 -2  SUtility:3141
821292[1254] -1 -2  SUtility:1254
601042[3141] 827020[4188] -1 -2  SUtility:7329
718203[4080] -1 -2  SUtility:4080
826803[4188] -1 -2  SUtility:4188
748302[3350] -1 -2  SUtility:3350
821022[1570] 821024[1570] 832557[2092] 832559[2092] -1 -2  SUtility:7324
821277[4184] 821285[4184] 821290[2092] 826702[837] -1 -2  SUtility:11297
716982[4606] -1 -2  SUtility:4606
753507[1150] -1 -2  SUtility:1150
594620[6282] 821275[3138] 826705[2092] -1 -2  SUtility:11512
718203[1360] -1 718203[1360] -1 -2  SUtility:2720
542354[3455] -1 -2  SUtility:3455
748300[2303] -1 -2  SUtility:2303
677435[6282] 826833[1360] -1 -2  SUtility:7642
641416[7328] 685795[1046] -1 685621[1046] 686086[10471] -1 -2  SUtility:19891
820441[1881] -1 -2  SUtility:1881
716971[1778] 832557[2092] -1 -2  SUtility:3870
821298[627] 829312[6282] -1 -2  SUtility:6909
684513[10471] -1 -2  SUtility:10471
838366[4396] -1 -2  SUtility:4396
821290[6276] -1 -2  SUtility:6276
840599[28170] -1 -2  SUtility:28170
585395[4188] 821290[6276] -1 -2  SUtility:10464
716930[3455] -1 -2  SUtility:3455
753513[784] -1 -2  SUtility:784
829285[837] -1 -2  SUtility:837
819562[4184] -1 -2  SUtility:4184
826829[2720] -1 -2  SUtility:2720
832302[837] 842341[18745] -1 -2  SUtility:19582
664919[732] 691426[1570] 826606[941] -1 -2  SUtility:3243
821272[1254] 827020[4188] -1 -2  SUtility:5442
539697[7852] -1 -2  SUtility:7852
748297[3350] 753513[784] -1 748297[3350] -1 753513[784] -1 -2  SUtility:8268
821285[6276] 826803[8376] -1 -2  SUtility:14652
820231[6276] -1 -2  SUtility:6276
536326[18745] -1 -2  SUtility:18745
684730[2720] -1 -2  SUtility:2720
826627[1046] 826835[3348] -1 -2  SUtility:4394
840762[29217] -1 -2  SUtility:29217
535621[5235] -1 -2  SUtility:5235
685795[1046] 829312[6282] -1 -2  SUtility:7328
716930[13505] 838833[627] -1 -2  SUtility:14132
706452[24924] 826606[941] 826627[1046] 826801[523] -1 -2  SUtility:27434
826625[732] 826810[2092] -1 -2  SUtility:2824
826925[2511] 827005[627] 827026[1046] -1 -2  SUtility:4184
583190[6282] -1 -2  SUtility:6282
692590[12462] -1 -2  SUtility:12462
551917[3556] -1 -2  SUtility:3556
826900[627] 839313[4188] -1 -2  SUtility:4815
716980[2408] -1 -2  SUtility:2408
591672[32358] -1 -2  SUtility:32358
716939[2198] 716982[2617] -1 716973[4816] -1 716939[1360] 716943[1360] -1 -2  SUtility:12351
643045[1883] -1 -2  SUtility:1883
821272[836] 827022[5235] 827028[5235] -1 -2  SUtility:11306
711509[3141] -1 -2  SUtility:3141
826606[941] 835182[1674] -1 -2  SUtility:2615
698592[12462] -1 -2  SUtility:12462
832657[2408] -1 -2  SUtility:2408
685747[10471] -1 -2  SUtility:10471
821277[2092] 821292[627] -1 -2  SUtility:2719
820233[2930] -1 -2  SUtility:2930
510783[4711] -1 -2  SUtility:4711
833800[31311] -1 -2  SUtility:31311
586795[1046] 691557[1464] 691604[837] 716935[6177] 826891[6276] -1 -2  SUtility:15800
716926[4816] 716932[5759] 821028[4188] -1 -2  SUtility:14763
539845[26075] -1 -2  SUtility:26075
716977[10990] -1 -2  SUtility:10990
826606[2823] 826810[2092] -1 -2  SUtility:4915
639327[2665] -1 -2  SUtility:2665
688098[3138] -1 -2  SUtility:3138
674772[2930] -1 -2  SUtility:2930
565512[2092] 839313[4188] 839995[523] 839999[523] -1 -2  SUtility:7326
571904[3141] -1 -2  SUtility:3141
821285[4184] 821290[8368] -1 821285[4184] 821290[8368] -1 -2  SUtility:25104
579466[2092] 714820[3664] -1 -2  SUtility:5756
586711[4710] 687642[1570] -1 -2  SUtility:6280
821277[4184] -1 -2  SUtility:4184
839313[4188] -1 -2  SUtility:4188
553604[11414] -1 -2  SUtility:11414
716975[5862] -1 716975[5862] -1 716975[5862] -1 -2  SUtility:17586
819612[2092] -1 -2  SUtility:2092
820413[7850] 826700[418] 826705[2092] -1 585395[4188] -1 -2  SUtility:14548
826608[313] 826705[2092] 826801[523] -1 826608[313] 826705[2092] 826801[523] -1 -2  SUtility:5856
821277[4184] -1 -2  SUtility:4184
832670[38642] -1 -2  SUtility:38642
711078[1046] 711082[1254] 711087[1360] 820186[2092] 820190[2092] -1 -2  SUtility:7844
753505[1151] -1 -2  SUtility:1151
691321[1883] 691366[2092] 691426[1570] -1 -2  SUtility:5545
716932[5759] -1 -2  SUtility:5759
839313[4188] -1 -2  SUtility:4188
820192[1570] 844297[732] -1 -2  SUtility:2302
826606[941] 826801[523] -1 -2  SUtility:1464
819376[418] -1 -2  SUtility:418
712668[17780] -1 -2  SUtility:17780
821285[4184] 826803[8376] -1 821285[4184] 826803[8376] -1 -2  SUtility:25120
594678[8900] -1 -2  SUtility:8900
587530[3664] 826700[418] -1 -2  SUtility:4082
536440[10471] -1 -2  SUtility:10471
517880[8375] -1 -2  SUtility:8375
717520[4502] 839643[3874] 839656[4188] -1 717520[4502] 839643[3874] 839656[4188] -1 -2  SUtility:25128
600502[26075] -1 -2  SUtility:26075
832655[5234] -1 -2  SUtility:5234
748293[3350] 748304[2303] 753507[575] -1 -2  SUtility:6228
